"( ) 1.—Please close the window .
— ____ .",Thank you,"Yes , Mr Green",I’m sorry,/,B,当别人请你做某事时，你应该礼貌地答应。这里格林先生让你关窗，回答'好的，格林先生'最合适。A是谢谢，C是道歉，都不对。
"( ) 2. —May I come in ?
— ____ .","Sit down , please","Come in , please",OK,/,B,"当别人问'May I come in?'（我可以进来吗？），我们应该礼貌地同意，说'Come in, please'（请进）。其他选项不合适：A是请坐，C不够礼貌，D不是正确选项。"
"( ) 3. —Don’t listen ____ Sam , Bobby .
—OK .",/,for,to,/,C,listen to 是固定搭配，意思是“听某人说话”。这里的意思是“不要听Sam的话”。所以选C。
"( ) 4.— Listen to ____ , please .
— Yes .",Mr Green,Green Mr,/,/,A,在英语中，称呼别人时，要把Mr.放在姓的前面。Mr. Green就是格林先生的意思，所以选A。
"( ) 5.— Look at my two ____ .
— How big !",book,books,/,/,B,这里‘two’表示两个，所以后面的书要用复数形式。‘book’的复数是在后面加‘s’，变成‘books’。所以选B。
"( )1.爸爸叫你不要打开门,他会对你说:",Open the door.,Don’t open the door.,/,/,B,爸爸叫你不要开门，是在告诉你不要做这件事。英语中，'Don't' 表示'不要'，后面加上动作。所以'Don't open the door.'就是'不要开门'的意思。
"( )2.好朋友请我帮助他开门,他应该说:","Open the door, please.","Close the door, please.",Thank you.,/,A,"好朋友请你帮忙开门，他需要礼貌地请你开门，所以应该说“Open the door, please.”（请开门）。B是关门，C是谢谢，都不符合请求帮助开门的场景。"
"( )3.当踢完足球满头大汗进教室时,我请我同桌:",Close the window.,Open the window.,/,/,B,踢完足球满头大汗时，我们会感觉很热，需要凉快一点。打开窗户可以让风吹进来，帮助我们降温。所以应该请同桌打开窗户。
"( )4.同学David帮助我关门后,我对他说:",Close the door.,Thank you.,"Yes, David",/,B,David帮你关门后，你应该感谢他。'Thank you.'是表达感谢的礼貌用语。A是命令关门，C是简单回答，都不合适。
"( )5.上课了,值日班长说:",Stand up.,Sit down.,/,/,A,上课时，值日班长通常会说“Stand up.”让大家起立，表示开始上课。
"( )1.你想知道同学多少岁了,你会说:",How old are you ?,How old are your?,I’m seven.,/,A,问别人年龄时，要说'How old are you?'。'your'是'你的'，后面要加东西，比如'your book'。C是回答'我七岁'，不是问句。所以选A。
"( )2.同学生日聚会上,你会对他说什么祝福的话:",How old are you ?,Happy Birthday to you.,This is for you.,/,B,在同学的生日聚会上，我们应该说祝福的话。'Happy Birthday to you.' 意思是'祝你生日快乐'，是生日时最常用的祝福语。其他选项不是生日祝福。
"( )3.同学问你多少岁了,你现在九岁,你会说:",How old are you?,I’m ten.,I’m nine.,/,C,当别人问你多少岁时，你要告诉对方你的年龄。题目说你现在九岁，所以应该说“I’m nine.”。A是问别人年龄，B是说十岁，都不对。
"( )4.你告诉同学,现在是上课的时候了,你会说:",It’s time for class.,It’s time for the cake.,You’re late.,/,A,因为‘class’是‘上课’的意思，‘It’s time for...’意思是‘是时候做...了’。所以‘It’s time for class.’就是‘该上课了’，正好符合题目要求。
"( )5.你看到一个非常漂亮的铅笔袋时,你会说:",This is a nice pencil case.,What a nice pencil !,What a nice pencil case !,/,C,当你看到漂亮的铅笔袋时，应该用感叹句表达赞美。/ 'What a nice pencil case!' 意思是'多漂亮的铅笔袋啊！'，符合情境。选项A是陈述句，不够生动；选项B赞美的是铅笔，不是铅
( )1. Look ____ my book.,a,and,at,/,C,这道题考的是固定搭配。'Look at' 意思是'看...'，后面要接看的东西。这里看的是'my book'，所以选C。其他选项意思不对。
"( )2. — What are ____ ?
— ____ are flowers.",these; It,those; They,this; It,/,B,问句用'those'指远处的花，答句用'They'代替复数名词'flowers'。'these'指近处，'this'和'it'是单数，都不对。
"( )3. — ____ these ants?
— ____ . They're butterflies.",Are; Yes,Is; No,Are; No,/,C,问句主语是复数名词'ants'，所以用'Are'开头。回答是'They're butterflies'，说明不是蚂蚁，所以用'No'回答。选C。
"( )4. — Is that your pen?
— ____ .","No, it isn't","No, they aren't","Yes, I am",/,A,问句问的是'那是你的钢笔吗？'，钢笔是单数，所以回答要用'it'。A选项'不，它不是'是正确的。B选项用了复数'they'，不对。C选项'是的，我是'答非所问。
"( ) 5. — Where's the bird?
—It's ____ the tree.",on,at,in,/,C,小鸟在树里面，比如在树枝间或树叶里，所以用in the tree。on the tree通常指长在树上的东西，比如苹果。
"( ) 1.当你想知道近处的这些是什么,可以问:",What are these?,What are those?,What's this?,/,A,当你想知道离你近的东西是什么时，要用“these”来提问，意思是“这些”。所以应该问“What are these?”。选项B的“those”是问远处的东西，/的“this”是问单个的东西。
"( ) 2. 当你不确定这是不是一支铅笔时,可以问:",This is a pencil.,Is that a pencil?,Is this a pencil?,/,C,当你不确定一个东西是什么时，要用问句。句子开头用Is this...? 表示“这是...吗？”，这样问最合适。
"( ) 3. 当你不确定远处的那些是什么时,可以问:",What is that?,What are those?,What is this?,/,B,远处的那些东西是复数，所以要用“What are those?”来提问。A和C都是问单个东西的，D选项不完整。
"( )4. 当你欢迎朋友来你家时,可以说:",Welcome to my farm.,Welcome to my home.,Welcome to your home.,/,B,欢迎朋友来自己家时，应该说“欢迎来我家”，所以选B。A是欢迎来农场，C是欢迎去你家，都不对。
"( )5. 你想知道那些是不是也是梨,可以问:","Are those pears, too?","Are these pears, too?","Are these apples, too?",/,A,因为题目问的是‘那些’是不是梨，所以要用‘those’来指远处的物品。‘these’是指近处的‘这些’，所以B和C不对。A选项正确地问了‘那些也是梨吗？’
"( ) 1. --Who's that man?
-- ____ is my uncle.",he,She,He,/,C,问句问的是男人，所以答句用He（他）。He在句首要大写，所以选C。
( )2. We're ____ .,twin,twins,teacher,/,B,句子意思是“我们是双胞胎”，主语是We（我们），所以后面要用复数形式twins。twin是单数，teacher是老师，都不符合句意。
"( )3.--Who's the boy under the desk?
--He's my ____ .",uncle,aunt,cousin,/,C,题目问‘桌子下的男孩是谁？’男孩是男性，所以选男性称呼。uncle是叔叔，aunt是阿姨，cousin是堂/表兄弟，可以是男性。D选项不完整。所以选C。
"( )4. --Is that a pencil?
-- ____ .","Yes, it isn't.","No, it is.","Yes, it is.",/,C,"当别人问'那是一支铅笔吗？'，如果是，就用'Yes, it is.'回答。/是正确的肯定回答。选项A和B的'Yes'和'No'搭配错了，所以不对。"
( )5. ____ time is it?,What,What's,How,/,A,问时间时，我们通常说“What time is it?”意思是“现在几点了？”。这是一个固定的问法，就像说“你好”一样。所以选A。
"( )1.当你想知道站在远处的男人是谁时,你会问: ____",What's your name?,Who's he?,Who's that girl?,/,B,因为你想知道远处的男人是谁，所以要用‘Who's he?’来问。‘What's your name?’是问对方的名字，‘Who's that girl?’是问远处的女孩，都不对。
( )2.你对Is this your father?的否定回答是: ____,"No, he isn't","Yes, he is.",He's my father.,/,A,当别人问“这是你爸爸吗？”时，如果想说不，应该说“不，他不是。”选项A就是正确的否定回答。选项B是肯定回答，C是陈述句，都不符合要求。
"( )3. 当你想知道照片上的男人是不是对方的哥哥时,你会问: ____",This is your sister.,Is this your brother?,Is this your father?,/,B,想知道照片上的男人是不是对方的哥哥，应该问‘这是你的哥哥吗？’。选项B‘Is this your brother?’就是这句话的英文，所以选B。
